Neighbourhood ID,Neighbourhood Name,"Rate per 100,000 people",Case Count,Latitude,Longitude
6,Kingsview Village-The Westway,1281.818182,282,43.7005,-79.5519
121,Oakridge,455.0379198,63,43.6973,-79.2749
127,Bendale,397.1962617,119,43.7654,-79.2489
107,Oakwood Village,480.9052334,102,43.6926,-79.4408
45,Parkwoods-Donalda,215.4862807,75,43.7528,-79.3264
69,Blake-Jones,194.1244985,15,43.6759,-79.3381
119,Wexford/Maryvale,315.2201168,88,43.7613,-79.3008
108,Briar Hill-Belgravia,652.3111454,93,43.7037,-79.4524
27,York University Heights,1554.742145,429,43.7664,-79.4774
22,Humbermede,1087.166291,169,43.7390,-79.5394
41,Bridle Path-Sunnybrook-York Mills,259.0114397,24,43.7359,-79.3719
128,Agincourt South-Malvern West,227.3014269,54,43.7925,-79.2838
23,Pelmo Park-Humberlea,820.7423988,88,43.7213,-79.5332
28,Rustic,1116.587868,111,43.7107,-79.4982
86,Roncesvalles,247.0949646,37,43.6463,-79.4491
78,Kensington-Chinatown,612.9841181,110,43.6509,-79.3972
92,Corso Italia-Davenport,396.2357603,56,43.6774,-79.4461
63,The Beaches,78.82412946,17,43.6673,-79.2967
48,Hillcrest Village,436.9906697,74,43.8049,-79.3547
43,Victoria Village,434.0376927,76,43.7357,-79.3124
50,Newtonbrook East,161.5207803,26,43.7912,-79.4062
62,East End-Danforth,130.9573921,28,43.6782,-79.3096
132,Malvern,532.036352,233,43.8092,-79.2217
40,St.Andrew-Windfields,134.7406243,24,43.7496,-79.3663
96,Casa Loma,264.4055434,29,43.6768,-79.4104
134,Highland Creek,368.1767248,46,43.7901,-79.1734
65,Greenwood-Coxwell,194.2151627,28,43.6742,-79.3243
39,Bedford Park-Nortown,374.419005,87,43.7303,-79.4114
13,Etobicoke West Mall,953.7474679,113,43.6451,-79.5688
33,Clanton Park,449.2472074,74,43.7487,-79.4467
105,Lawrence Park North,130.0746218,19,43.7238,-79.3886
35,Westminster-Branson,707.9241836,186,43.7856,-79.4511
113,Weston,1823.032459,328,43.7002,-79.5163
95,Annex,281.7270523,86,43.6698,-79.4076
94,Wychwood,557.5301415,80,43.6779,-79.4201
37,Willowdale West,307.0382617,52,43.77.16,-79.4280
76,Bay Street Corridor,220.9559251,57,43.6666,-79.3880
